objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
des-01,des_1.jpg,,,Representación Petroglifo,,,,,,,,,,,image/jpeg,,,
des-02,des_2.jpg,,,Representación Petroglifo,,,,,,,,,,,image/jpeg,,,
des-03,des_3.jpg,,,Comparsa Los primeros pobladores,,,,,,,,,,,image/jpeg,,,
des-04,des_4.jpg,,,Comparsa Los primeros pobladores,,,,,,,,,,,image/jpeg,,,
des-05,des_5.jpg,,,Armas y vestuario,,,,,,,,,,,image/jpeg,,,
des-06,des_6.jpg,,,Representación mujeres,,,,,,,,,,,image/jpeg,,,
des-07,des_7.jpg,,,Carrosa alusiva a los primeros pobladores,,,,,,,,,,,image/jpeg,,,
